measured_at,vibration_value
2026-10-04T15:40:00+09:00,0.37
2026-10-04T15:40:10+09:00,0.49
2026-10-04T15:40:20+09:00,0.66
2026-10-04T15:40:30+09:00,0.84
2026-10-04T15:40:40+09:00,1.06
2026-10-04T15:40:50+09:00,1.28
2026-10-04T15:41:00+09:00,2.12
2026-10-04T15:41:10+09:00,0.75
2026-10-04T15:41:20+09:00,1.43
2026-10-04T15:41:30+09:00,2.41
2026-10-04T15:41:40+09:00,1.11
2026-10-04T15:41:50+09:00,0.59
2026-10-04T15:42:00+09:00,2.79
2026-10-04T15:42:10+09:00,1.34
2026-10-04T15:42:20+09:00,0.91
2026-10-04T15:42:30+09:00,3.08
2026-10-04T15:42:40+09:00,1.57
2026-10-04T15:42:50+09:00,0.72
2026-10-04T15:43:00+09:00,2.26
2026-10-04T15:43:10+09:00,1.16
2026-10-04T15:43:20+09:00,0.53
2026-10-04T15:43:30+09:00,3.43
2026-10-04T15:43:40+09:00,1.38
2026-10-04T15:43:50+09:00,2.05
2026-10-04T15:44:00+09:00,0.81
