measured_at,vibration_value
2026-10-05T13:10:00+09:00,0.32
2026-10-05T13:10:10+09:00,0.48
2026-10-05T13:10:20+09:00,0.63
2026-10-05T13:10:30+09:00,0.81
2026-10-05T13:10:40+09:00,1.02
2026-10-05T13:10:50+09:00,1.24
2026-10-05T13:11:00+09:00,2.14
2026-10-05T13:11:10+09:00,0.76
2026-10-05T13:11:20+09:00,1.39
2026-10-05T13:11:30+09:00,2.38
2026-10-05T13:11:40+09:00,1.08
2026-10-05T13:11:50+09:00,0.57
2026-10-05T13:12:00+09:00,2.83
2026-10-05T13:12:10+09:00,1.31
2026-10-05T13:12:20+09:00,0.87
2026-10-05T13:12:30+09:00,3.17
2026-10-05T13:12:40+09:00,1.53
2026-10-05T13:12:50+09:00,0.69
2026-10-05T13:13:00+09:00,2.29
2026-10-05T13:13:10+09:00,1.12
2026-10-05T13:13:20+09:00,0.51
2026-10-05T13:13:30+09:00,3.56
2026-10-05T13:13:40+09:00,1.41
2026-10-05T13:13:50+09:00,2.08
2026-10-05T13:14:00+09:00,0.78
2026-10-05T13:14:10+09:00,1.27
2026-10-05T13:14:20+09:00,0.43
2026-10-05T13:14:30+09:00,2.61
