equipment_id,measured_at,vibration_value
PDF-TEST-001,2026-09-13T09:00:00,1.12
PDF-TEST-001,2026-09-13T09:01:00,1.18
PDF-TEST-001,2026-09-13T09:02:00,1.25
PDF-TEST-001,2026-09-13T09:03:00,1.31
PDF-TEST-001,2026-09-13T09:04:00,1.28
PDF-TEST-001,2026-09-13T09:05:00,1.35
PDF-TEST-001,2026-09-13T09:06:00,1.42
PDF-TEST-001,2026-09-13T09:07:00,1.48
PDF-TEST-001,2026-09-13T09:08:00,1.55
PDF-TEST-001,2026-09-13T09:09:00,1.62
PDF-TEST-001,2026-09-13T09:10:00,1.70
PDF-TEST-001,2026-09-13T09:11:00,1.78
PDF-TEST-001,2026-09-13T09:12:00,1.85
PDF-TEST-001,2026-09-13T09:13:00,2.10
PDF-TEST-001,2026-09-13T09:14:00,2.35
PDF-TEST-001,2026-09-13T09:15:00,2.62
PDF-TEST-001,2026-09-13T09:16:00,2.88
PDF-TEST-001,2026-09-13T09:17:00,3.15
PDF-TEST-001,2026-09-13T09:18:00,3.42
PDF-TEST-001,2026-09-13T09:19:00,3.68
PDF-TEST-001,2026-09-13T09:20:00,3.95
PDF-TEST-001,2026-09-13T09:21:00,4.22
PDF-TEST-001,2026-09-13T09:22:00,4.48
PDF-TEST-001,2026-09-13T09:23:00,4.10
PDF-TEST-001,2026-09-13T09:24:00,3.75
PDF-TEST-001,2026-09-13T09:25:00,3.30
PDF-TEST-001,2026-09-13T09:26:00,2.85
PDF-TEST-001,2026-09-13T09:27:00,2.40
PDF-TEST-001,2026-09-13T09:28:00,1.95
PDF-TEST-001,2026-09-13T09:29:00,1.55
