measured_at,vibration_value
2026-09-03T13:30:00+09:00,0.38
2026-09-03T13:30:10+09:00,0.52
2026-09-03T13:30:20+09:00,0.81
2026-09-03T13:30:30+09:00,1.26
2026-09-03T13:30:40+09:00,2.14
2026-09-03T13:30:50+09:00,0.92
2026-09-03T13:31:00+09:00,1.48
2026-09-03T13:31:10+09:00,2.63
2026-09-03T13:31:20+09:00,1.17
2026-09-03T13:31:30+09:00,3.08
2026-09-03T13:31:40+09:00,2.31
2026-09-03T13:31:50+09:00,0.69
2026-09-03T13:32:00+09:00,1.03
2026-09-03T13:32:10+09:00,0.47
2026-09-03T13:32:20+09:00,3.46
2026-09-03T13:32:30+09:00,0.76
