measured_at,vibration_value
2026-09-10T14:20:00+09:00,0.29
2026-09-10T14:20:10+09:00,0.46
2026-09-10T14:20:20+09:00,0.71
2026-09-10T14:20:30+09:00,0.94
2026-09-10T14:20:40+09:00,1.18
2026-09-10T14:20:50+09:00,1.42
2026-09-10T14:21:00+09:00,2.13
2026-09-10T14:21:10+09:00,0.83
2026-09-10T14:21:20+09:00,1.57
2026-09-10T14:21:30+09:00,2.49
2026-09-10T14:21:40+09:00,1.09
2026-09-10T14:21:50+09:00,0.61
2026-09-10T14:22:00+09:00,2.91
2026-09-10T14:22:10+09:00,1.36
2026-09-10T14:22:20+09:00,0.88
2026-09-10T14:22:30+09:00,3.19
2026-09-10T14:22:40+09:00,1.68
2026-09-10T14:22:50+09:00,0.73
2026-09-10T14:23:00+09:00,2.32
2026-09-10T14:23:10+09:00,1.14
2026-09-10T14:23:20+09:00,0.54
2026-09-10T14:23:30+09:00,3.71
2026-09-10T14:23:40+09:00,1.49
2026-09-10T14:23:50+09:00,2.21
2026-09-10T14:24:00+09:00,0.79
2026-09-10T14:24:10+09:00,1.25
2026-09-10T14:24:20+09:00,0.39
2026-09-10T14:24:30+09:00,2.62
2026-09-10T14:24:40+09:00,1.02
2026-09-10T14:24:50+09:00,1.39
