measured_at,vibration_value
2026-09-03T16:20:00+09:00,0.44
2026-09-03T16:20:10+09:00,0.63
2026-09-03T16:20:20+09:00,0.79
2026-09-03T16:20:30+09:00,1.12
2026-09-03T16:20:40+09:00,1.56
2026-09-03T16:20:50+09:00,2.27
2026-09-03T16:21:00+09:00,0.91
2026-09-03T16:21:10+09:00,1.38
2026-09-03T16:21:20+09:00,2.84
2026-09-03T16:21:30+09:00,1.19
2026-09-03T16:21:40+09:00,3.17
2026-09-03T16:21:50+09:00,0.72
2026-09-03T16:22:00+09:00,2.43
2026-09-03T16:22:10+09:00,1.05
2026-09-03T16:22:20+09:00,0.58
2026-09-03T16:22:30+09:00,3.61
2026-09-03T16:22:40+09:00,1.29
2026-09-03T16:22:50+09:00,0.67
