measured_at,vibration_value
2026-09-09T09:30:00+09:00,0.36
2026-09-09T09:30:10+09:00,0.49
2026-09-09T09:30:20+09:00,0.71
2026-09-09T09:30:30+09:00,0.94
2026-09-09T09:30:40+09:00,1.18
2026-09-09T09:30:50+09:00,1.42
2026-09-09T09:31:00+09:00,2.16
2026-09-09T09:31:10+09:00,0.83
2026-09-09T09:31:20+09:00,1.57
2026-09-09T09:31:30+09:00,2.54
2026-09-09T09:31:40+09:00,1.21
2026-09-09T09:31:50+09:00,0.68
2026-09-09T09:32:00+09:00,3.06
2026-09-09T09:32:10+09:00,1.34
2026-09-09T09:32:20+09:00,2.28
2026-09-09T09:32:30+09:00,0.77
2026-09-09T09:32:40+09:00,1.09
2026-09-09T09:32:50+09:00,3.52
2026-09-09T09:33:00+09:00,1.46
2026-09-09T09:33:10+09:00,2.73
2026-09-09T09:33:20+09:00,0.59
2026-09-09T09:33:30+09:00,1.25
2026-09-09T09:33:40+09:00,2.09
2026-09-09T09:33:50+09:00,0.43
