measured_at,vibration_value
2026-09-08T14:10:00+09:00,0.41
2026-09-08T14:10:10+09:00,0.58
2026-09-08T14:10:20+09:00,0.76
2026-09-08T14:10:30+09:00,1.04
2026-09-08T14:10:40+09:00,1.33
2026-09-08T14:10:50+09:00,2.22
2026-09-08T14:11:00+09:00,0.89
2026-09-08T14:11:10+09:00,1.47
2026-09-08T14:11:20+09:00,2.68
2026-09-08T14:11:30+09:00,1.16
2026-09-08T14:11:40+09:00,3.12
2026-09-08T14:11:50+09:00,0.71
2026-09-08T14:12:00+09:00,1.55
2026-09-08T14:12:10+09:00,2.39
2026-09-08T14:12:20+09:00,0.96
2026-09-08T14:12:30+09:00,3.48
2026-09-08T14:12:40+09:00,1.21
2026-09-08T14:12:50+09:00,0.64
2026-09-08T14:13:00+09:00,2.07
2026-09-08T14:13:10+09:00,0.52
